t;speed;angle;e_q_t;e_q_st
0.49;-0.002995263;0.16820845;1.004592652;0.998953626
0.495;-0.002340621;0.164018169;1.002670609;0.997673122
0.5;-0.00169064;0.160852731;1.000812348;0.99637113
0.505;-0.001046785;0.158703658;0.999017306;0.995052058
0.51;-0.000410463;0.157560214;0.997284749;0.993719966
0.515;0.000216974;0.157409498;0.995613812;0.992378561
0.52;0.00083423;0.158236526;0.994003532;0.991031189
0.525;0.00144007;0.16002433;0.992452884;0.989680828
0.53;0.00203332;0.162754047;0.990960809;0.988330095
0.535;0.002612865;0.166405016;0.989526244;0.986981252
0.54;0.003177654;0.170954876;0.988148146;0.985636213
0.545;0.0037267;0.176379666;0.986825518;0.984296562
0.55;0.004259079;0.182653922;0.985557423;0.982963567
0.555;0.004773929;0.189750778;0.984343005;0.981638198
0.56;0.005270456;0.197642067;0.983181499;0.980321152
0.565;0.005747927;0.206298424;0.982072242;0.979012877
0.57;0.006205675;0.215689384;0.981014684;0.977713595
0.575;0.006643097;0.225783483;0.980008386;0.976423328
0.58;0.007059652;0.236548361;0.979053027;0.975141928
0.585;0.007454864;0.247950858;0.978148399;0.973869107
0.59;0.007828318;0.259957114;0.97729441;0.972604457
0.595;0.008179659;0.272532664;0.976491075;0.971347488
0.6;0.008508593;0.285642536;0.975738508;0.970097649
0.605;0.008814886;0.299251342;0.975036917;0.968854355
0.61;0.009098359;0.313323368;0.974386594;0.967617017
0.615;0.00935889;0.327822667;0.973787901;0.966385064
0.62;0.009596411;0.342713139;0.973241261;0.965157966
0.625;0.009810904;0.357958622;0.972747145;0.963935255
0.63;0.010002403;0.373522962;0.97230606;0.962716548
0.635;0.010170991;0.389370101;0.971918532;0.961501561
0.64;0.010316793;0.405464142;0.971585099;0.960290127
0.645;0.010439982;0.421769422;0.971306294;0.95908221
0.65;0.010540768;0.438250582;0.97108263;0.957877914
0.655;0.010619404;0.454872624;0.970914594;0.956677497
0.66;0.010676176;0.471600974;0.970802632;0.955481373
0.665;0.010711407;0.48840154;0.970747134;0.954290122
0.67;0.010725451;0.505240758;0.970748432;0.953104487
0.675;0.010718691;0.522085644;0.970806783;0.951925381
0.68;0.010691539;0.538903841;0.970922362;0.95075388
0.685;0.010644432;0.555663657;0.971095257;0.949591224
0.69;0.01057783;0.572334104;0.971325459;0.948438812
0.695;0.010492214;0.588884935;0.971612856;0.947298189
0.7;0.010388086;0.605286674;0.971957227;0.946171048
0.705;0.010265963;0.621510647;0.972358241;0.945059209
0.71;0.010126381;0.637529006;0.972815448;0.943964617
0.715;0.009969887;0.653314755;0.973328277;0.942889326
0.72;0.009797045;0.668841769;0.973896038;0.941835484
0.725;0.009608426;0.684084818;0.974517914;0.940805324
0.73;0.009404615;0.699019576;0.975192963;0.939801143
0.735;0.009186205;0.713622644;0.975920115;0.938825293
0.74;0.008953794;0.727871559;0.976698175;0.93788016
0.745;0.008707991;0.741744805;0.977525821;0.936968152
0.75;0.00844941;0.755221829;0.978401603;0.93609168
0.755;0.008178668;0.768283041;0.979323946;0.935253144
0.76;0.007896389;0.78090983;0.980291153;0.934454916
0.765;0.007603201;0.793084566;0.981301402;0.933699326
0.77;0.007299733;0.804790607;0.982352751;0.932988642
0.775;0.00698662;0.816012303;0.983443142;0.932325062
0.78;0.006664496;0.826735002;0.984570398;0.931710695
0.785;0.006334;0.836945051;0.985732233;0.931147546
0.79;0.00599577;0.8466298;0.986926252;0.930637508
0.795;0.005650448;0.855777604;0.988149953;0.930182347
0.8;0.005298674;0.864377827;0.989400735;0.929783687
0.805;0.004941091;0.872420837;0.990675902;0.929443007
0.81;0.004578341;0.879898016;0.991972666;0.929161624
0.815;0.004211069;0.886801752;0.993288156;0.928940689
0.82;0.003839916;0.893125446;0.994619422;0.928781177
0.825;0.003465526;0.898863508;0.995963443;0.928683878
0.83;0.003088542;0.904011359;0.997317132;0.928649397
0.835;0.002709606;0.908565427;0.99867735;0.928678143
0.84;0.00232936;0.912523152;1.000040906;0.92877033
0.845;0.001948446;0.915882978;1.001404574;0.92892597
0.85;0.001567501;0.918644359;1.002765096;0.929144875
0.855;0.001187166;0.920807748;1.004119197;0.929426651
0.86;0.000808077;0.922374604;1.005463594;0.929770704
0.865;0.000430868;0.923347381;1.006795006;0.930176238
0.87;5.62E-05;0.92372953;1.008110166;0.930642256
0.875;-0.000315383;0.923525494;1.009405834;0.931167565
0.88;-0.00068317;0.922740698;1.010678809;0.931750779
0.885;-0.001046567;0.92138155;1.011925939;0.932390325
0.89;-0.001404957;0.919455432;1.013144137;0.933084444
0.895;-0.001757728;0.91697069;1.01433039;0.933831206
0.9;-0.002104274;0.913936626;1.015481776;0.934628507
0.905;-0.002443997;0.91036349;1.016595473;0.935474084
0.91;-0.002776305;0.906262466;1.017668774;0.936365522
0.915;-0.003100617;0.901645658;1.018699096;0.937300261
0.92;-0.003416361;0.896526077;1.019683996;0.93827561
0.925;-0.003722977;0.890917623;1.020621179;0.939288754
0.93;-0.004019917;0.884835067;1.021508509;0.940336766
0.935;-0.004306647;0.878294028;1.022344022;0.941416621
0.94;-0.00458265;0.871310952;1.023125933;0.942525204
0.945;-0.004847424;0.863903088;1.023852643;0.943659327
0.95;-0.005100485;0.856088454;1.024522751;0.944815738
0.955;-0.005341372;0.847885816;1.025135057;0.945991137
0.96;-0.005569642;0.839314647;1.025688569;0.947182186
0.965;-0.005784877;0.830395096;1.026182505;0.948385529
0.97;-0.005986685;0.82114795;1.0266163;0.949597799
0.975;-0.006174699;0.811594593;1.026989606;0.950815635
