;t;NE_G2_Delta;NW_G5_Delta;SE_G6_Delta;SW_G1_Delta;SW_G8_Delta;NE_G2_f;NW_G5_f;SE_G6_f;SW_G1_f;SW_G8_f;NE_G2_V;NW_G5_V;SE_G6_V;SW_G1_V;SW_G8_V;NE_G2_P;NW_G5_P;SE_G6_P;SW_G1_P;SW_G8_P;NE_G2_Q;NW_G5_Q;SE_G6_Q;SW_G1_Q;SW_G8_Q
18;0.1;42.65821001;1.71791559;26.0966117;41.15328608;50.90873185;1;1;1;1;1;0.759235347;0.72159075;0.894474575;0.825315072;0.774224924;241.1229637;99.80848741;216.2685828;309.443044;364.4438366;559.6460766;582.6146397;282.1049084;463.0696301;484.8465191
19;0.11;42.65115225;1.684806813;26.0678305;41.13552364;50.90873185;1;1;1;1;1;0.749219779;0.701583712;0.880680734;0.815821679;0.745440378;215.1521026;87.24349166;210.0802493;288.3552544;361.9891384;555.5714722;545.4199747;266.2954514;465.0528529;420.4895927
20;0.115;41.15501489;0.149147296;24.53819209;39.62298966;49.42162203;1.001035849;1.00103516;1.001073439;1.000708786;1.002148454;0.747090455;0.698558038;0.878121216;0.815541235;0.740594036;207.4046998;83.16468978;207.0821997;282.6693526;362.1176207;550.9601701;527.2030339;256.8324771;459.65874;398.2159116
21;0.115;41.34386724;0.337999648;24.72704445;39.81184201;49.61047438;1.001035849;1.00103516;1.001073439;1.000708786;1.002148454;0.748141617;0.702512483;0.879972794;0.818048552;0.743675467;208.5849619;84.70472524;207.5427246;284.773279;365.2895413;549.589341;523.4802934;253.4499991;455.4828469;394.03887
22;0.120000023;40.79835344;-0.260581322;24.13608706;39.24410578;49.07535164;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.745555335;0.696643041;0.876419024;0.815929403;0.737709856;200.9565607;79.38745969;204.1083737;277.9930753;362.1749306;546.1649856;510.740635;248.1285152;453.688354;379.9106455
23;0.120000023;40.85485375;-0.204081012;24.19258737;39.30060609;49.13185195;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.745579385;0.696667758;0.876431297;0.815946546;0.737738258;200.9769929;79.38055249;204.1094695;278.0110803;362.1892758;546.138286;510.7229166;248.1057693;453.6620455;379.9112451
24;0.120000023;40.43146916;-0.627465603;23.76920278;38.8772215;48.70846736;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.745579385;0.696667758;0.876431297;0.815946546;0.737738258;200.9769929;79.38055249;204.1094695;278.0110803;362.1892758;546.138286;510.7229166;248.1057693;453.6620455;379.9112451
25;0.120000023;40.43146915;-0.627465613;23.76920277;38.87722149;48.70846735;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.745579384;0.69666775;0.876431296;0.815946545;0.737738256;200.9769928;79.38055019;204.1094698;278.0110799;362.1892749;546.138288;510.7229249;248.1057707;453.6620472;379.9112469
26;0.130000022;40.40789275;-0.784178834;23.63058431;38.7974622;48.70846735;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.741251333;0.686494447;0.870505473;0.812569022;0.728432775;187.6459622;69.43418273;197.3254684;265.8370242;356.0684022;539.1994014;488.0739765;238.6333368;449.4539612;357.2523669
27;0.130000022;40.18556946;-1.006502121;23.40826102;38.57513891;48.48614406;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.741254421;0.686497645;0.870507036;0.812571503;0.728442858;187.6541166;69.43507997;197.3253665;265.8398788;356.0591745;539.1955546;488.067206;238.6320787;449.4499865;357.2707218
28;0.130000065;39.78711846;-1.40495393;23.00980931;38.17668757;48.08769318;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.741254408;0.686497612;0.870507018;0.812571494;0.728442835;187.6540717;69.43504086;197.3253378;265.8398357;356.0591487;539.1955254;488.0671284;238.6320465;449.4499659;357.2706593
29;0.130000065;39.78711835;-1.404954043;23.0098092;38.17668746;48.08769307;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.741254407;0.686497607;0.870507018;0.812571493;0.728442834;187.6540707;69.43503846;197.3253375;265.8398353;356.0591479;539.1955263;488.0671332;238.632047;449.4499667;357.2706602
30;0.130000065;39.78711662;-1.404955768;23.00980747;38.17668573;48.08769135;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.741254407;0.686497607;0.870507018;0.812571493;0.728442834;187.6540707;69.43503846;197.3253375;265.8398353;356.0591479;539.1955263;488.0671332;238.632047;449.4499667;357.2706602
31;0.130000065;39.78711667;-1.404955722;23.00980752;38.17668578;48.08769139;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.741254407;0.686497607;0.870507018;0.812571493;0.728442834;187.6540714;69.43503974;197.3253378;265.8398364;356.0591491;539.1955264;488.0671333;238.6320471;449.4499667;357.2706601
32;0.140000022;39.75848296;-1.620466946;22.81748343;38.0682799;48.08769139;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.738233811;0.678938354;0.866493846;0.810455642;0.723094034;177.3252028;60.52310082;190.7203918;255.9168935;350.2031984;532.4464513;470.2474732;231.1970892;444.6753209;342.9364047
33;0.140000022;39.66873841;-1.710211501;22.72773888;37.97853534;47.99794684;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.738235872;0.678940438;0.866494741;0.810457233;0.723099568;177.3302072;60.52380001;190.7204894;255.9182677;350.1983128;532.4441086;470.242724;231.1960724;444.6729902;342.9452695
34;0.150000021;39.30158256;-2.317293088;22.14788415;37.50787127;47.66368959;1.001553776;1.001552742;1.001610161;1.001063181;1.003222686;0.735960226;0.673170338;0.86370842;0.808928043;0.719843739;168.8870643;52.50381042;184.4680991;247.6038617;345.1919265;526.3191597;456.2943348;225.399663;440.2098038;333.6074983
35;0.160000021;38.96381776;-2.947112424;21.54852569;37.04281878;47.36255474;1.002297313;1.002115653;1.00185741;1.001633661;1.003315543;0.734128853;0.668662911;0.861738722;0.807666784;0.717687291;161.7394237;45.2369733;178.6360688;240.5365506;341.312863;520.9359994;445.386038;220.900881;436.3577262;327.3428234
36;0.170000021;38.70440079;-3.549710548;20.97897124;36.63231633;47.14303652;1.002748067;1.002376338;1.001958229;1.001954026;1.003325708;0.73256746;0.665064351;0.860318729;0.80653017;0.716114978;155.5364744;38.62601048;173.2484582;234.4668008;338.5457272;516.2800673;436.8381142;217.4085028;433.155551;323.0390291
37;0.180000021;38.50213061;-4.145270928;20.41848966;36.25514044;46.98322313;1.003081776;1.002514761;1.002023523;1.00216763;1.003358961;0.731183632;0.662146221;0.85929367;0.805461893;0.71484278;150.1981004;32.62148978;168.3145869;229.2730708;336.9327058;512.2771941;430.1233695;214.7105101;430.5322578;319.9671453
38;0.180000022;38.39062891;-4.256772679;20.30698791;36.14363872;46.87172143;1.003081776;1.002514761;1.002023523;1.00216763;1.003358961;0.731183632;0.662146221;0.859293669;0.805461893;0.71484278;150.1980999;32.62148917;168.3145864;229.2730703;336.9327057;512.2771937;430.1233689;214.7105099;430.5322576;319.9671451
39;0.180000022;38.75843161;-3.888969984;20.6747906;36.51144142;47.23952413;1.003081776;1.002514761;1.002023523;1.00216763;1.003358961;0.848835789;0.762113399;0.912892689;0.849585227;0.765647684;209.9452193;17.06879695;168.0114902;243.3869222;370.8653216;325.7535429;313.4064416;111.4449387;353.3130147;247.4347591
40;0.190000022;38.71197783;-4.364848969;20.18155475;36.27356817;47.23952412;1.003081776;1.002514761;1.002023523;1.00216763;1.003358961;0.951175058;0.849744659;3.234361737;0.912646807;0.83645337;137.8050038;-94.6302374;2646.335099;182.3538872;344.9347746;107.6901464;181.7684689;11145.84102;225.9170374;159.2019317
41;0.190000064;37.24571838;-5.831110282;18.71528993;34.80730786;45.77326487;1.003081797;1.002514799;1.002023755;1.002167648;1.003358978;0.951175405;0.849744959;3.234369846;0.912647023;0.836453619;137.8048753;-94.63049425;2646.347666;182.3537491;344.9347394;107.6893423;181.7680111;11145.90715;225.9165802;159.201639
42;0.190000064;37.4737239;-5.603104758;18.94329546;35.03531339;46.00127039;1.003081797;1.002514799;1.002023755;1.002167648;1.003358978;1.084480422;1.053145565;3.293674525;1.058385695;1.031219628;150.4941671;-169.8747325;2893.67125;177.566513;431.573805;-269.1825972;-292.3875913;10797.49039;-155.9652145;-287.6464068
