,t,NE_G2_Delta,NW_G5_Delta,SE_G6_Delta,SW_G1_Delta,SW_G8_Delta,NE_G2_f,NW_G5_f,SE_G6_f,SW_G1_f,SW_G8_f,NE_G2_V,NW_G5_V,SE_G6_V,SW_G1_V,SW_G8_V,NE_G2_P,NW_G5_P,SE_G6_P,SW_G1_P,SW_G8_P,NE_G2_Q,NW_G5_Q,SE_G6_Q,SW_G1_Q,SW_G8_Q
0,-0.10000000149011612,48.82749946764443,8.636925462925774,15.170832953661431,47.70797962272303,32.419598233172806,1.0,1.0,1.0,1.0,1.0,1.0099999904157657,1.0199999809220732,1.0199999809415845,1.0099999903785453,1.0099999904136188,379.88861083304744,80.20032501584286,108.24279022832144,379.8972472713346,241.31341553362773,53.18538627883376,41.130805010580396,2.08492285168104,29.7558042161232,37.66448100170795
1,-0.09000000171363354,48.827499467249766,8.636925462531224,15.17083295326637,47.707979622330356,32.41959823277808,1.0,1.0,1.0,1.0,1.0,1.0099999904394839,1.0199999809244402,1.019999980934531,1.0099999904204826,1.0099999904374413,379.8886108410347,80.2003250155295,108.24279022651615,379.897247286542,241.3134155414836,53.185386280112965,41.13080501081432,2.0849228527422987,29.755804214022085,37.66448099900592
2,-0.08000000193715096,48.82749946738261,8.636925462664522,15.170832953397792,47.70797962247099,32.41959823291199,1.000000000000218,0.999999999999988,1.0000000000001945,0.9999999999988609,0.9999999999996367,1.00999999043882,1.0199999809238391,1.0199999809345468,1.0099999904193795,1.009999990435215,379.88861083953833,80.2003250152192,108.2427902250476,379.89724728495895,241.31341554519804,53.185386279466854,41.13080501142763,2.08492285496625,29.755804213032945,37.66448099351943
3,-0.07000000216066837,48.827499467270115,8.636925462552597,15.170832953282343,47.70797962237407,32.41959823280383,1.0000000000001794,1.0000000000001064,1.0000000000000957,0.999999999999542,1.0000000000001412,1.0099999904384718,1.019999980923534,1.0199999809345204,1.009999990418719,1.0099999904343133,379.88861083850765,80.20032501489037,108.24279022466102,379.8972472843692,241.31341554515072,53.185386278682316,41.13080501151695,2.084922855976865,29.755804212001674,37.664480991389375
4,-0.06000000238418579,48.82749946723112,8.636925462514228,15.170832953238971,47.70797962235821,32.419598232771776,1.0000000000001452,1.000000000000142,1.000000000000086,0.9999999999998657,1.0000000000001896,1.0099999904381993,1.0199999809233025,1.0199999809345044,1.0099999904181856,1.0099999904335781,379.8886108376227,80.2003250145634,108.24279022423329,379.89724728411824,241.3134155453389,53.18538627798391,41.13080501157004,2.084922856774586,29.755804211146337,37.66448098958903
5,-0.05000000260770321,48.82749946719446,8.636925462478018,15.170832953196339,47.70797962235224,32.41959823274398,1.0000000000001226,1.000000000000151,1.000000000000076,1.0000000000000318,1.0000000000002123,1.009999990438033,1.0199999809231373,1.0199999809344933,1.0099999904178694,1.0099999904330847,379.88861083705604,80.20032501427366,108.24279022391795,379.89724728459083,241.31341554512306,53.18538627751896,41.13080501155108,2.084922857319184,29.755804210746103,37.664480988331924
6,-0.04000000283122063,48.82749946716541,8.636925462449256,15.170832953159788,47.70797962236088,32.419598232725775,1.0000000000001221,1.0000000000001585,1.000000000000083,1.0000000000001426,1.000000000000207,1.00999999043799,1.0199999809230318,1.0199999809345066,1.0099999904178532,1.0099999904327528,379.8886108369033,80.20032501398495,108.24279022358895,379.89724728607564,241.31341554488952,53.185386277415084,41.130805011472404,2.084922857665975,29.75580421112872,37.6644809873058
7,-0.030000003054738045,48.82749946713818,8.636925462422198,15.170832953123465,47.707979622377934,32.419598232711564,1.0000000000001323,1.0000000000001612,1.0000000000000908,1.000000000000238,1.0000000000002038,1.0099999904380772,1.0199999809229832,1.019999980934552,1.0099999904181856,1.0099999904325647,379.88861083719297,80.20032501368551,108.24279022322581,379.897247288739,241.3134155446186,53.18538627772046,41.13080501133205,2.0849228578396604,29.755804212466124,37.66448098642398
8,-0.020000003278255463,48.82749946711067,8.636925462395084,15.170832953085778,47.70797962240067,32.41959823269944,1.0000000000001532,1.0000000000001665,1.0000000000001021,1.0000000000003375,1.000000000000207,1.0099999904382915,1.0199999809229863,1.0199999809346325,1.009999990418854,1.0099999904324974,379.88861083790187,80.2003250133753,108.24279022281651,379.8972472925221,241.3134155443726,53.185386278426996,41.13080501113373,2.084922857869183,29.7558042147207,37.664480985611505
9,-0.01000000350177288,48.827499467081395,8.636925462366776,15.170832953045533,47.707979622426535,32.41959823268828,1.0000000000001796,1.000000000000174,1.000000000000115,1.0000000000004379,1.0000000000002172,1.0099999904386225,1.0199999809230376,1.0199999809347486,1.0099999904198078,1.009999990432532,379.88861083896705,80.20032501305475,108.24279022236426,379.8972472972237,241.31341554415744,53.18538627947858,41.13080501088401,2.084922857777181,29.75580421773588,37.66448098484115
10,-3.725290298461914e-09,48.82749946704939,8.636925462336592,15.170832953002162,47.70797962245365,32.41959823267752,1.0000000000002087,1.0000000000001843,1.0000000000001292,1.000000000000532,1.0000000000002327,1.0099999904390518,1.019999980923129,1.0199999809348963,1.0099999904209744,1.0099999904326482,379.88861084030185,80.20032501272696,108.24279022187486,379.89724730257836,241.31341554399685,53.18538628080811,41.13080501059576,2.0849228575892442,29.75580422130119,37.664480984106454
