;t;NE_G2_Delta;NW_G5_Delta;SE_G6_Delta;SW_G1_Delta;SW_G8_Delta;NE_G2_f;NW_G5_f;SE_G6_f;SW_G1_f;SW_G8_f;NE_G2_V;NW_G5_V;SE_G6_V;SW_G1_V;SW_G8_V;NE_G2_P;NW_G5_P;SE_G6_P;SW_G1_P;SW_G8_P;NE_G2_Q;NW_G5_Q;SE_G6_Q;SW_G1_Q;SW_G8_Q
0;-0.100000001;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686737;-14.43928731
1;-0.090000002;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686736;-14.43928731
2;-0.080000002;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686736;-14.43928732
3;-0.070000002;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686736;-14.43928732
4;-0.060000002;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686736;-14.43928732
5;-0.050000003;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686736;-14.43928732
6;-0.040000003;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686736;-14.43928732
7;-0.030000003;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686736;-14.43928732
8;-0.020000003;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686737;-14.43928732
9;-0.010000004;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964875;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686737;-14.43928732
10;-3.73E-09;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964874;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686737;-14.43928733
11;0.009999996;34.65344412;11.06007485;15.19937534;49.05842428;15.8775805;1;1;1;1;1;1.00999999;1.019999981;1.019999981;1.00999999;1.00999999;212.1777954;80.06964874;80.1035614;377.9299927;92.334445;15.80199246;42.01317269;-19.40142013;34.59686737;-14.43928733
