logid,runid,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,lambda,rel_tol,abs_tol,val_freq,mert_batch,loss_function,regularization,optimizer,Frechet_distance,inference_time,training_time
34,18,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,46.39507805155265,0.0492290831170976,0.4741073744371533
35,18,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,40.82901112622088,0.0492379167117178,0.9436189164407552
36,19,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.237825332878803,0.0520698330365121,0.4447317929007113
37,19,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.4956438639244,0.051261750049889,0.8929397910833359
38,20,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,34.99067931224264,0.0412255423143506,0.4420789205469191
39,20,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,55.69005164290834,0.0491655422374606,0.8696921719238162
40,21,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.769940772363057,0.0435447082854807,0.4957988769747317
41,21,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,37.59263086279044,0.047893791925162,0.93694774992764
42,22,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.04615977366329,0.0516791250556707,0.4551624194718897
43,22,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,25.76763995846667,0.0462431670166552,0.9095489205792546
44,23,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,40.7998210499074,0.0451410831883549,0.4378581251949072
45,23,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.235871857845485,0.0474207089282572,0.8895357064902782
46,24,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,24.82834586857135,0.0538300420157611,0.4843197930604219
