logid,runid,dataset,num_neurons,num_epochs,learning_rate,loss_coefficient,batch_size,batch_dur_idx,batch_range_idx,lambda,rel_tol,abs_tol,val_freq,mert_batch,loss_function,regularization,optimizer,Frechet_distance,inference_time,training_time
169,85,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,28.67674058204948,0.0466722077690064,0.8703538333065808
170,86,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,31.1058481310038,0.0478598750196397,0.5084099173545837
171,86,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,17.768399266950503,0.0489747920073568,0.971005543600768
172,87,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,23.78643846294594,0.0544557920657098,0.4695310825482011
173,87,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.891586892293976,0.0551405837759375,0.9114505420438944
174,88,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,35.577608695973964,0.0451529170386493,0.4393974593840539
175,88,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.267248950231608,0.0493057500571012,0.8832215433940291
176,89,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,29.680393557257936,0.0445168749429285,0.5284374174661934
177,89,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,26.09403200195563,0.0526632498949766,0.9657453778199852
178,90,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,20.51496966279115,0.0485505838878452,0.4711053338833153
179,90,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,43.595547826850186,0.0451805000193417,0.9549016654491423
180,91,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,19.03899244248208,0.0532929580658674,0.4652771237306297
181,91,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,40.16120204795693,0.0483634159900248,0.9347452917136252
182,92,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,24.04465284544124,0.0449989582411944,0.4754846668802202
183,92,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,23.55619569311747,0.0441251671873033,0.940594919025898
184,93,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,21.94783598027924,0.0446269996464252,0.4442561254836619
185,93,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,17.364643561720314,0.0541721666231751,0.8835767102427781
186,94,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,51.890339407930384,0.0457489588297903,0.4393743355758488
187,94,1,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,15.459271720297265,0.0450920001603663,0.8746129628270864
188,95,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,55.15812800010085,0.0422225408256053,0.4529067501425743
189,95,2,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,36.77145963678275,0.0509627079591155,0.9012455404736102
190,96,3,50,20,0.01,1,50,20,500,0.005,1e-07,1e-09,5,False,MSELoss(),,Adam,22.721223243884683,0.04506233334541321,0.5060022510588169
